Date,Type,Country,Sex,Species
2011-05-25,Unprovoked,USA,F,tiger shark
2011-05-22,Unprovoked,USA,F,tiger shark
2011-05-21,Unprovoked,SOUTH AFRICA,M,zambesi shark
2011-05-13,Unprovoked,USA,M,
2011-05-21,Unprovoked,NEW CALEDONIA,M,tiger shark
2011-05-13,Unprovoked,USA,M,
2011-05-10,Provoked,USA,M,sandbar shark
,Invalid,UNITED ARAB EMIRATES (UAE),M,invalid
2011-05-04,Unprovoked,SOUTH AFRICA,M,
2011-04-26,Unprovoked,USA,M,bull shark
2011-04-23,Unprovoked,AUSTRALIA,M,"reef shark, 1.5m"
2011-04-22,Unprovoked,USA,M,1' to 2' shark
2011-04-16,Unprovoked,NEW ZEALAND,M,copper shark
2011-04-13,Unprovoked,INDONESIA,M,bull shark
2011-04-08,Unprovoked,FIJI,M,
,Provoked,USA,M,blacktip shark
2011-03-24,Unprovoked,MEXICO,F,bull shark
2011-03-23,Unprovoked,AUSTRALIA,M,bull shark
2011-03-21,Unprovoked,MEXICO,M,
2011-03-21,Unprovoked,FIJI,M,
2011-03-16,Unprovoked,AUSTRALIA,F,3 m to 4 m shark
,Invalid,EGYPT,F,
2011-03-10,Unprovoked,AUSTRALIA,M,
,Provoked,AUSTRALIA,M,bull shark
2011-02-23,Unprovoked,NEW CALEDONIA,M,1.5 m shark
2011-02-18,Unprovoked,REUNION,M,
2011-02-17,Unprovoked,AUSTRALIA,M,white shark
2011-02-13,Provoked,AUSTRALIA,M,1 m shark
2011-02-12,Unprovoked,AUSTRALIA,M,
,Provoked,MEXICO,M,
2011-02-02,Unprovoked,SOUTH AFRICA,M,
2011-01-31,Unprovoked,MEXICO,F,6' shark
2011-01-28,Provoked,MEXICO,M,
2011-01-26,Unprovoked,BAHAMAS,M,caribbean reef shark
2011-01-20,Invalid,AUSTRALIA,F,shark involvement not confirmed
2011-01-15,Unprovoked,SOUTH AFRICA,M,
,Unprovoked,MEXICO,M,
2011-01-03,Watercraft,AUSTRALIA,,white shark
2010-12-26,Unprovoked,USA,M,6' shark
2010-12-17,Unprovoked,FIJI,M,
2010-12-11,Unprovoked,USA,M,
2010-12-05,Unprovoked,EGYPT,F,white shark
,Unprovoked,INDONESIA,M,
2010-12-01,Unprovoked,EGYPT,M,mako shark
2010-12-01,Unprovoked,EGYPT,M,mako shark
2010-11-30,Unprovoked,EGYPT,F,white shark
2010-11-30,Unprovoked,EGYPT,F,white shark
,Unprovoked,SAMOA,M,
2010-11-27,Invalid,AUSTRALIA,M,shark involvement not confirmed
2010-11-19,Provoked,USA,M,
2010-11-15,Unprovoked,DOMINICAN REPUBLIC,M,
2010-11-14,Unprovoked,INDONESIA,M,
,Watercraft,AUSTRALIA,M,white shark
2010-10-30,Unprovoked,AUSTRALIA,F,white shark
,Unprovoked,AUSTRALIA,M,
2010-10-28,Unprovoked,USA,M,
2010-10-25,Provoked,AZORES,M,
2010-10-23,Unprovoked,USA,M,"porbeagle shark, 8' "
2010-10-23,Unprovoked,AUSTRALIA,M,
2010-10-22,Unprovoked,USA,M,white shark
2010-10-20,Unprovoked,EGYPT,F,
2010-10-09,Unprovoked,AUSTRALIA,M,bull shark
2010-10-02,Unprovoked,BAHAMAS,M,lemon shark
2010-10-02,Unprovoked,BAHAMAS,F,lemon shark
2010-10-01,Unprovoked,SOUTH AFRICA,M,
2010-09-27,Unprovoked,USA,M,white shark
2010-09-24,Unprovoked,USA,M,
2010-09-21,Unprovoked,SOUTH AFRICA,M,white shark
2010-09-13,Unprovoked,AUSTRALIA,M,2m shark
2010-09-07,Unprovoked,USA,M,3' shark
,Unprovoked,TONGA,M,
2010-09-04,Unprovoked,USA,M,
2010-09-03,Unprovoked,USA,M,
2010-09-03,Unprovoked,USA,M,
2010-09-02,Unprovoked,SOLOMON ISLANDS,M,
2010-08-29,Invalid,BAHAMAS,M,shark involvement prior to death was not confirmed
2010-08-18,Unprovoked,USA,M,
2010-08-17,Unprovoked,AUSTRALIA,M,white shark
2010-08-14,Watercraft,USA,M,white shark
2010-08-10,Provoked,AUSTRALIA,F,
2010-08-10,Unprovoked,SOUTH KOREA,F,
2010-08-08,Unprovoked,AUSTRALIA,M,
2010-08-07,Unprovoked,USA,M,
2010-08-07,Unprovoked,MALTA,M,3 m shark
2010-08-05,Invalid,USA,F,shark involvement not confirmed
2010-08-02,Watercraft,USA,M,white shark
2010-08-02,Unprovoked,USA,F,3' to 4' shark
2010-07-25,Unprovoked,USA,M,4' shark
2010-07-23,Unprovoked,USA,M,
2010-07-19,Unprovoked,USA,M,blacktip shark
2010-07-17,Unprovoked,USA,F,tiger shark
2010-07-17,Unprovoked,USA,M,spinner shark
2010-07-16,Provoked,SPAIN,M,angel shark
2010-07-16,Unprovoked,USA,M,
2010-07-11,Provoked,USA,M,nurse shark
2010-07-04,Unprovoked,SOUTH AFRICA,F,
2010-07-03,Provoked,USA,M,blue shark
2010-07-02,Unprovoked,USA,M,4' shark
2010-07-02,Unprovoked,USA,M,8' shark
2010-06-27,Unprovoked,USA,M,bull shark
2010-06-25,Unprovoked,USA,F,
2010-06-25,Unprovoked,USA,F,
2010-06-15,Unprovoked,VIETNAM,M,1 m shark
2010-06-10,Unprovoked,USA,F,4' shark
2010-06-06,Unprovoked,AUSTRALIA,M,
2010-06-01,Unprovoked,USA,M,
2010-05-30,Provoked,USA,M,lemon shark
2010-05-18,Unprovoked,VIETNAM,F,20 to 30kg shark
2010-05-18,Unprovoked,VIETNAM,F,20 to 30kg shark
2010-05-18,Unprovoked,AUSTRALIA,M,
2010-05-03,Unprovoked,MADAGASCAR,M,
2010-05-01,Unprovoked,USA,F,4' shark
2010-04-28,Provoked,USA,M,lemon shark
2010-04-19,Unprovoked,USA,M,14' shark
2010-04-13,Unprovoked,SOUTH AFRICA,M,2 m shark
2010-04-04,Unprovoked,EGYPT,M,white shark
2010-03-27,Unprovoked,REUNION,M,1.5 m shark
,Unprovoked,NEW ZEALAND,M,blue shark
2010-02-16,Unprovoked,SOUTH AFRICA,M,3 m shark
2010-02-15,Unprovoked,FIJI,M,
2010-02-13,Unprovoked,AUSTRALIA,F,2 m shark
2010-02-11,Unprovoked,AUSTRALIA,M,"wobbegong shark, 1.6m"
,Provoked,NEW ZEALAND,M,2 m to 3 m shark
2010-02-06,Unprovoked,AUSTRALIA,M,white shark
2010-02-06,Provoked,USA,M,spinner shark
2010-02-04,Invalid,GUAM,M,invalid
2010-02-03,Unprovoked,USA,M,
2010-02-01,Provoked,NEW ZEALAND,F,1.5 m shark
2010-01-31,Unprovoked,BRAZIL,M,hammerhead shark
2010-01-27,Unprovoked,AUSTRALIA,M,
2010-01-22,Unprovoked,UNITED ARAB EMIRATES (UAE),M,
2010-01-22,Unprovoked,AUSTRALIA,M,
2010-01-12,Unprovoked,SOUTH AFRICA,M,white shark
2010-01-09,Unprovoked,AUSTRALIA,F,white shark
2010-01-09,Unprovoked,VIETNAM,F,
2010-01-09,Unprovoked,VIETNAM,M,
2010-01-09,Unprovoked,VIETNAM,M,
2010-01-06,Unprovoked,USA,M,
2010-01-05,Unprovoked,SOUTH AFRICA,M,
2009-12-29,Unprovoked,SOUTH AFRICA,M,
2009-12-26,Provoked,AUSTRALIA,M,
2009-12-22,Unprovoked,MOZAMBIQUE,M,"zambesi shark, 2m "
2009-12-20,Watercraft,AUSTRALIA,M,
2009-12-20,Unprovoked,AUSTRALIA,M,bull shark
2009-12-18,Unprovoked,SOUTH AFRICA,M,
2009-12-18,Invalid,SOUTH AFRICA,M,no shark involvement
2009-12-16,Unprovoked,NEW ZEALAND,M,white shark
2009-12-13,Unprovoked,AUSTRALIA,M,
2009-12-12,Watercraft,AUSTRALIA,,white shark
2009-12-05,Provoked,USA,M,tiger shark
2009-11-25,Invalid,USA,M,shark involvement not confirmed
2009-11-24,Unprovoked,USA,M,6' shark
2009-11-16,Unprovoked,USA,M,thresher shark
2009-11-16,Unprovoked,USA,M,
2009-11-13,Unprovoked,USA,F,
2009-11-11,Unprovoked,USA,M,4' shark
2009-11-08,Unprovoked,AUSTRALIA,M,2 m shark
2009-11-05,Unprovoked,USA,M,
2009-10-30,Watercraft,AUSTRALIA,M,white shark
,Unprovoked,MOZAMBIQUE,M,zambesi shark
2009-10-28,Unprovoked,AUSTRALIA,F,
2009-10-24,Unprovoked,USA,M,
2009-10-19,Unprovoked,USA,M,6' to 8' shark
2009-10-18,Unprovoked,PANAMA,F,
2009-10-17,Provoked,SCOTLAND,M,angel shark
,Unprovoked,AUSTRALIA,M,bull shark
2009-10-09,Unprovoked,USA,M,
2009-10-02,Provoked,UNITED KINGDOM,M,spurdog
2009-09-26,Unprovoked,USA,M,bull shark
2009-09-18,Unprovoked,VIETNAM,M,
2009-09-15,Provoked,SOMALIA,M,
2009-09-13,Provoked,BRAZIL,M,
2009-09-12,Invalid,USA,M,shark involvement prior to death not confirmed
2009-09-07,Unprovoked,BRAZIL,M,
2009-09-02,Invalid,NEVIS,M,invalid
2009-09-01,Provoked,SOLOMON ISLANDS,M,
2009-08-30,Unprovoked,USA,M,4' shark
2009-08-29,Unprovoked,SOUTH AFRICA,M,white shark
2009-08-25,Unprovoked,USA,F,white shark
2009-08-11,Unprovoked,SOUTH AFRICA,M,white shark
2009-08-10,Unprovoked,USA,M,
2009-08-06,Unprovoked,USA,M,tiger shark
2009-08-01,Unprovoked,USA,M,bull shark
2009-07-31,Unprovoked,BAHAMAS,M,bull shark
2009-07-30,Unprovoked,AUSTRALIA,M,
2009-07-29,Unprovoked,VIETNAM,F,
,Unprovoked,KENYA,M,
2009-07-24,Unprovoked,USA,F,
2009-07-24,Invalid,SPAIN,F,shark involvement questionable
2009-07-22,Unprovoked,USA,F,
2009-07-22,Unprovoked,USA,F,
2009-07-18,Unprovoked,VIETNAM,M,
2009-07-11,Provoked,BAHAMAS,M,caribbean reef shark
2009-07-11,Unprovoked,USA,M,5' shark
2009-07-07,Unprovoked,SOUTH AFRICA,M,
2009-07-05,Unprovoked,USA,F,
2009-07-04,Provoked,USA,F,nurse shark
2009-06-27,Unprovoked,AUSTRALIA,M,copper shark
2009-06-21,Invalid,USA,M,shark involvement not confirmed
2009-06-16,Invalid,USA,M,"shark involvement probable, but not confirmed"
,Provoked,VIETNAM,M,white shark
2009-06-02,Unprovoked,EGYPT,M,white shark
2009-06-02,Unprovoked,EGYPT,M,white shark
2009-06-01,Unprovoked,EGYPT,F,white shark
2009-05-31,Provoked,TAIWAN,M,80 kg shark
2009-05-25,Provoked,USA,M,5' to 8' shark
2009-05-17,Unprovoked,USA,M,blacktip shark
2009-05-16,Unprovoked,USA,M,blacktip shark
2009-05-16,Unprovoked,USA,M,blacktip shark
2009-05-12,Provoked,GUAM,M,blacktip shark
2009-03-06,Provoked,BAHAMAS,M,7' shark
2009-04-28,Unprovoked,USA,F,
,Unprovoked,USA,M,
2009-04-21,Unprovoked,USA,M,
2009-04-20,Unprovoked,PHILIPPINES,M,
2009-04-19,Unprovoked,USA,M,
2009-04-17,Unprovoked,USA,M,2' to 3' shark
2009-04-11,Invalid,USA,M,shark involvement not confirmed
2009-04-12,Unprovoked,AUSTRALIA,M,2' to 3' shark
2009-04-06,Invalid,SOUTH AFRICA,M,shark involvement not confirmed
2009-04-06,Unprovoked,USA,M,white shark
2009-04-03,Unprovoked,USA,M,
2009-03-27,Provoked,SOUTH AFRICA,M,tiger shark
2009-03-21,Unprovoked,SOUTH AFRICA,M,
2009-03-20,Unprovoked,AUSTRALIA,M,copper shark
2009-03-19,Unprovoked,AUSTRALIA,M,
2009-03-19,Unprovoked,AUSTRALIA,F,
2009-03-18,Unprovoked,USA,F,3' to 4' shark
,Unprovoked,MALAYSIA,F,blacktip shark
2009-03-17,Unprovoked,USA,M,thought to involve a cookiecutter shark
,Provoked,AUSTRALIA,M,"wobbegong shark, 60cm"
2009-03-06,Unprovoked,NEW CALEDONIA,M,
2009-03-02,Provoked,SOUTH AFRICA,M,blue shark
2009-03-01,Watercraft,NEW ZEALAND,M,
2009-03-01,Unprovoked,AUSTRALIA,M,2.6 m shark
2009-02-22,Unprovoked,AUSTRALIA,M,
2009-02-18,Unprovoked,AUSTRALIA,M,
2009-02-12,Unprovoked,AUSTRALIA,M,white shark
2009-02-11,Unprovoked,AUSTRALIA,M,bull shark
2009-02-08,Sea Disaster,USA,M,
2009-02-07,Unprovoked,AUSTRALIA,M,white shark
2009-02-07,Unprovoked,AUSTRALIA,M,
,Provoked,AZORES,M,
,Invalid,BRAZIL,M,shark involvement prior to death was not confirmed
2009-01-25,Unprovoked,CUBA,M,bull shark
2009-01-24,Watercraft,NEW ZEALAND,,
2009-01-24,Unprovoked,AUSTRALIA,M,
2009-01-24,Unprovoked,SOUTH AFRICA,M,tiger shark
2009-01-23,Invalid,BRAZIL,M,invalid
2009-01-18,Watercraft,AUSTRALIA,M,white shark
2009-01-16,Unprovoked,NEW ZEALAND,M,
,Unprovoked,SOUTH AFRICA,,white shark
2009-01-12,Unprovoked,AUSTRALIA,M,"dusky shark, 2m"
2009-01-11,Unprovoked,AUSTRALIA,F,white shark
2009-01-11,Unprovoked,AUSTRALIA,M,white shark
2009-01-10,Watercraft,NEW ZEALAND,,mako shark
2009-01-10,Unprovoked,ECUADOR,M,
2009-01-06,Unprovoked,NEW ZEALAND,M,broadnose sevengill shark
2009-01-01,Unprovoked,CUBA,,bull shark
2008-12-30,Invalid,AUSTRALIA,,no shark involvement
2008-12-27,Watercraft,AUSTRALIA,,2 m shark
2008-12-27,Unprovoked,AUSTRALIA,M,
2008-12-27,Watercraft,AUSTRALIA,M,white shark
2008-12-27,Unprovoked,AUSTRALIA,M,white shark
2008-12-20,Watercraft,USA,M,white shark
2008-12-14,Unprovoked,NEW ZEALAND,M,copper shark
2008-12-10,Provoked,SOUTH AFRICA,M,tiger shark
2006-12-06,Watercraft,AUSTRALIA,,white shark
2008-12-01,Unprovoked,MOZAMBIQUE,M,zambesi shark?
2008-11-28,Unprovoked,EGYPT,F,white shark
2008-11-25,Sea Disaster,PHILIPPINES,M,
2008-11-24,Unprovoked,ECUADOR,F,
2008-11-09,Watercraft,AUSTRALIA,M,copper shark
2008-11-09,Sea Disaster,TAIWAN,M,
2008-11-06,Unprovoked,PHILIPPINES,M,
2008-10-22,Provoked,AUSTRALIA,M,nurse shark
2008-10-21,Unprovoked,NEW CALEDONIA,M,lemon shark
2008-10-12,Provoked,AUSTRALIA,M," reef shark, 1.8m"
2008-10-11,Unprovoked,AUSTRALIA,M,
2008-10-08,Unprovoked,USA,M,
2008-10-06,Unprovoked,CROATIA,M,white shark
2008-09-28,Unprovoked,USA,M,
2008-09-28,Unprovoked,USA,M,+3' shark
2008-09-15,Provoked,AUSTRALIA,M,copper shark
2008-09-14,Unprovoked,USA,M,2' to 3' juvenile shark
2008-09-09,Unprovoked,USA,M,tiger shark
2008-09-08,Unprovoked,USA,M,white shark
2008-09-07,Unprovoked,AUSTRALIA,M,3 m shark
2008-09-06,Unprovoked,USA,M,
2008-09-06,Unprovoked,USA,M,
2008-09-01,Unprovoked,USA,M,4' shark
2008-09-01,Unprovoked,USA,M,
2008-08-30,Unprovoked,AUSTRALIA,M,
2008-08-30,Invalid,USA,M,shark involvement not confirmed
2008-08-30,Provoked,ENGLAND,M,blue shark
2008-08-28,Unprovoked,USA,M,
2008-08-27,Unprovoked,USA,M,6' shark
2008-08-24,Unprovoked,USA,M,
2008-08-24,Invalid,USA,F,shark involvement not confirmed
2008-08-20,Unprovoked,USA,M,
2008-08-18,Invalid,USA,M,shark involvement not confirmed
2008-08-16,Unprovoked,USA,F,bull shark
2008-08-12,Unprovoked,USA,F,
2008-08-11,Unprovoked,USA,M,tiger shark
2008-07-30,Unprovoked,AUSTRALIA,M,white shark
,Unprovoked,SOUTH AFRICA,M,white shark
2008-07-27,Unprovoked,PANAMA,M,3'  shark
2008-07-26,Unprovoked,MEXICO,M,2'  shark
2008-07-26,Unprovoked,USA,M,2' to 3' reef shark
2008-07-25,Unprovoked,USA,M,
2008-07-25,Unprovoked,USA,F,
2008-07-24,Unprovoked,USA,M,3' shark
2008-07-24,Unprovoked,USA,F,3' to 4' shark
2008-07-23,Provoked,USA,M,
2008-07-19,Unprovoked,USA,M,4' shark
2008-07-18,Unprovoked,EGYPT,M,white shark
2008-07-13,Invalid,USA,M,shark involvement not confirmed
2008-07-11,Unprovoked,USA,M,
2008-07-09,Unprovoked,USA,F,
2008-07-05,Unprovoked,USA,F,
,Watercraft,UNITED KINGDOM,M,"starry smoothhound shark, 1m"
2008-06-28,Invalid,USA,M,shark involvement prior to death not confirmed
2008-06-28,Unprovoked,BAHAMAS,M,bull shark
2008-06-28,Unprovoked,SOUTH AFRICA,M,white shark
,Unprovoked,SOUTH AFRICA,M,white shark
2008-06-26,Unprovoked,USA,M,
2008-06-26,Unprovoked,USA,M,4.5 to 5' shark
2008-06-24,Unprovoked,BRAZIL,M,
2008-06-21,Watercraft,USA,F,white shark
2008-06-20,Unprovoked,USA,F,
2008-06-11,Unprovoked,BRAZIL,M,
2008-06-07,Unprovoked,USA,M,
,Watercraft,SCOTLAND,,basking shark
2008-06-01,Unprovoked,USA,F,5' shark
2008-06-01,Unprovoked,BRAZIL,M,bull shark
2008-05-26,Unprovoked,USA,M,
2008-05-24,Sea Disaster,BAHAMAS,M,tiger shark
2008-05-24,Unprovoked,MEXICO,M,3 m shark
2008-05-23,Unprovoked,MEXICO,M,2 m shark
2008-05-14,Unprovoked,FIJI,M,
2008-05-10,Unprovoked,AUSTRALIA,M,white shark
2008-05-07,Unprovoked,NEW CALEDONIA,M,bull shark
2008-05-07,Unprovoked,USA,M,
2008-05-01,Provoked,SOUTH AFRICA,M,
2008-04-28,Unprovoked,MEXICO,M,tiger shark
2008-04-28,Unprovoked,USA,M,4' shark
2008-04-27,Unprovoked,USA,M,
2008-04-26,Unprovoked,NEW CALEDONIA,M,bull shark
2008-04-26,Provoked,USA,M,
2008-04-25,Unprovoked,USA,M,white shark
2008-04-20,Unprovoked,USA,M,
2008-04-20,Unprovoked,AUSTRALIA,M,tiger shark
,Invalid,SOUTH AFRICA,M,tiger shark
2008-04-18,Invalid,MEXICO,M,"reported by media as shark attack, but shark involvement prior to death was not confirmed"
2008-04-17,Invalid,AUSTRALIA,M,shark involvement not confirmed; thought to be a barracuda bite
2008-04-15,Unprovoked,USA,M,1.5' to 2' shark
,Unprovoked,FIJI,M,
2008-03-25,Unprovoked,USA,M,6' shark
,Unprovoked,USA,,
2008-04-08,Unprovoked,AUSTRALIA,M,bull shark
2008-04-03,Unprovoked,USA,M,
2008-03-28,Unprovoked,SOUTH AFRICA,M,
2008-03-28,Unprovoked,USA,M,4' to 5' shark
2008-03-28,Unprovoked,USA,M,a small shark
2008-03-23,Unprovoked,USA,M,2.5' shark
2008-03-21,Unprovoked,USA,M,
2008-03-15,Unprovoked,USA,M,shark involvement not confirmed
2008-03-07,Unprovoked,USA,M,white shark
2008-02-24,Unprovoked,BAHAMAS,M,bull shark
,Unprovoked,FRENCH POLYNESIA,M,
2008-02-15,Unprovoked,USA,M,
2008-02-07,Unprovoked,AUSTRALIA,F,1 m shark
2008-02-06,Unprovoked,USA,M,3' shark
2008-01-30,Provoked,JAPAN,M,"goblin shark, 4.2'"
2008-01-29,Unprovoked,SOUTH AFRICA,M,blacktip shark
2008-01-27,Provoked,AUSTRALIA,M,mako shark
,Invalid,NEW ZEALAND,M,no shark involvement
2008-01-14,Watercraft,NEW ZEALAND,,copper shark
2008-01-10,Unprovoked,USA,M,a small shark
,Provoked,USA,M,nurse shark
,Unprovoked,MEXICO,M,hammerhead shark
2007-12-21,Unprovoked,ECUADOR,M,3 m shark
2007-12-19,Invalid,BRITISH VIRGIN ISLANDS,M,invalid
2007-12-18,Unprovoked,AUSTRALIA,M,2 m shark
2007-12-15,Unprovoked,AUSTRALIA,M,"""a small shark"""
2007-12-14,Invalid,AUSTRALIA,M,not a shark attack; it was a hoax
2007-12-10,Unprovoked,USA,M,tiger shark
2007-12-09,Unprovoked,NEW ZEALAND,F,
2007-12-07,Unprovoked,BRAZIL,M,2.27 m shark
2007-11-18,Provoked,AUSTRALIA,M,reef shark
2007-11-08,Unprovoked,AUSTRALIA,M,
2007-11-07,Unprovoked,SOUTH AFRICA,M,1.5 to 2 m shark
2007-11-06,Unprovoked,USA,M,4' to 5' shark
2007-11-04,Unprovoked,USA,M,5' shark
2007-11-03,Unprovoked,SOUTH AFRICA,M,white shark
2011-11-01,Invalid,MEXICO,M,invalid
2007-10-29,Unprovoked,USA,M,tiger shark
2007-10-15,Unprovoked,AUSTRALIA,F,white shark
2007-10-13,Unprovoked,AUSTRALIA,M,copper shark
2007-10-07,Unprovoked,USA,M,3' to 4' shark
2007-10-06,Unprovoked,USA,M,blacktip shark
2007-09-30,Unprovoked,USA,M,
2007-09-30,Sea Disaster,PHILIPPINES,M,
2007-09-30,Unprovoked,NEW CALEDONIA,F,white shark
2007-09-28,Unprovoked,BAHAMAS,F,caribbean reef shark
2007-09-27,Unprovoked,USA,F,white shark
2007-09-27,Unprovoked,EGYPT,F,white shark
2007-09-22,Invalid,USA,F,shark involvement prior to death was not confirmed
2007-09-22,Unprovoked,USA,F,4' shark
2007-09-20,Unprovoked,USA,M,3' shark
2007-09-17,Unprovoked,SOLOMON ISLANDS,M,gray reef shark
2007-09-16,Unprovoked,USA,M,
2007-09-16,Unprovoked,USA,F,9.5' shark?
2007-09-13,Unprovoked,USA,M,nurse shark
2007-09-08,Unprovoked,USA,F,
2007-09-05,Unprovoked,USA,F,
2007-09-04,Unprovoked,USA,M,
2007-09-03,Unprovoked,USA,F,"18"" to 24"" shark"
2007-09-03,Unprovoked,USA,M,spinner shark
2007-08-28,Unprovoked,USA,M,tiger shark
2007-08-28,Unprovoked,USA,M,white shark
2007-08-26,Unprovoked,USA,M,3' shark
2007-08-25,Unprovoked,USA,M,3' shark
2007-08-22,Provoked,USA,M,sand shark
2007-08-20,Provoked,USA,M,tiger shark
2007-08-19,Unprovoked,USA,M,
2007-08-19,Unprovoked,USA,M,4' to 5' shark
2007-08-19,Unprovoked,USA,M,
2007-08-15,Unprovoked,USA,M,bull shark
2007-08-12,Unprovoked,USA,F, 
2007-08-11,Unprovoked,USA,M,
2007-08-09,Unprovoked,USA,M,
2007-08-09,Unprovoked,USA,M,
2007-08-07,Unprovoked,USA,F,bull shark
2007-07-29,Unprovoked,USA,M,
2007-07-28,Unprovoked,USA,M,
2007-07-22,Unprovoked,USA,M,white shark
2007-07-21,Watercraft,USA,M,white shark
,Unprovoked,USA,M, 
,Unprovoked,AUSTRALIA,M,copper shark
2007-07-18,Unprovoked,USA,M,2' to 3' shark
2007-07-18,Provoked,NORWAY,M,"3' small spotted catshark, scyliorhinus canicula"
2007-07-17,Invalid,USA,F,shark involvement not confirmed
2007-07-17,Unprovoked,USA,F,5' shark
2007-07-10,Unprovoked,BAHAMAS,F,bull shark
2007-07-05,Unprovoked,USA,M,
2007-07-04,Unprovoked,REUNION,M,2 m shark
2007-07-01,Invalid,SENEGAL,,questionable incident
2007-06-30,Provoked,USA,M,lemon shark
2007-06-30,Unprovoked,USA,F,
2007-06-25,Unprovoked,USA,M,4' shark
2007-06-24,Unprovoked,USA,M,tiger shark
2007-06-17,Invalid,USA,F,shark involvement not confirmed
2007-06-12,Unprovoked,USA,F,3' to 4' shark
2007-06-05,Unprovoked,AUSTRALIA,M,
2007-05-26,Unprovoked,USA,F,
2007-05-24,Provoked,USA,F,blacktip shark
,Provoked,ENGLAND,M,"lesser spotted dogfish, scyliorhinus canicula, less than 80 cm in length"
2007-05-16,Unprovoked,AUSTRALIA,F,2.5 m shark
2007-05-12,Unprovoked,AUSTRALIA,M,10' shark
2007-05-10,Unprovoked,USA,F,4' to 5' shark
,Unprovoked,SEYCHELLES,M,white shark
2007-05-08,Invalid,AUSTRALIA,M,shark involvement prior to death was not confirmed
2007-05-07,Unprovoked,USA,F,tiger shark
2007-05-07,Unprovoked,USA,M,6' to 8' shark
2007-05-04,Sea Disaster,TURKS & CAICOS,,
2007-05-01,Provoked,BAHAMAS,F,lemon shark
2007-04-26,Unprovoked,AUSTRALIA,F,"""a small shark"""
2007-04-22,Unprovoked,USA,M,blacktip shark
2007-04-20,Unprovoked,USA,M,3' to 4' shark
,Watercraft,USA,,bull shark
2007-04-09,Unprovoked,NEW CALEDONIA,M,tiger shark
2007-04-01,Unprovoked,USA,M,
2007-03-31,Unprovoked,USA,M,3' shark
2007-03-31,Unprovoked,USA,M,
2007-03-22,Unprovoked,YEMEN,,
2007-03-21,Unprovoked,USA,M,4' to 5' shark
2007-03-20,Unprovoked,AUSTRALIA,F,1.5 m shark
,Provoked,USA,M,5' shark
2007-03-12,Unprovoked,AUSTRALIA,F,2 to 2.5 m shark
2007-03-11,Unprovoked,USA,M,
,Provoked,NEW ZEALAND,M,tiger shark
2007-02-04,Invalid,COSTA RICA,M,shark involvement prior to death was not confirmed
2007-02-03,Unprovoked,AUSTRALIA,M,
2007-02-01,Unprovoked,NEW CALEDONIA,M,
2007-01-25,Unprovoked,NEW CALEDONIA,M,tiger shark
2007-01-25,Watercraft,USA,,14' shark
2007-01-23,Unprovoked,AUSTRALIA,M,white shark
2007-01-19,Invalid,AUSTRALIA,M,shark involvement prior to death was not confirmed
2007-01-14,Unprovoked,SOUTH AFRICA,M,tiger shark
2007-01-09,Unprovoked,AUSTRALIA,M,2.4 m shark
2007-01-07,Invalid,USA,M,"24"" to 30"" shark"
2007-01-01,Unprovoked,USA,M,tiger shark
2007-01-01,Provoked,FRENCH POLYNESIA,M,silvertip shark
2006-12-18,Unprovoked,AUSTRALIA,M,2.5 to 3 m shark
2006-12-11,Unprovoked,NEW ZEALAND,M,2 to 3 m shark
2006-12-10,Unprovoked,USA,M,white shark
2006-12-06,Provoked,SOUTH AFRICA,M,tiger shark
2006-12-02,Unprovoked,AUSTRALIA,M,white shark
2006-11-25,Sea Disaster,PHILIPPINES,,
2006-11-11,Unprovoked,USA,M,2 m to 3 m shark
2006-11-09,Provoked,SOUTH AFRICA,M,bull shark
2006-10-31,Unprovoked,USA,M,white shark
2006-10-16,Unprovoked,USA,M,
2006-10-10,Unprovoked,USA,M,
2006-10-07,Unprovoked,USA,M,1' to 4' shark
2006-10-05,Unprovoked,USA,M,3' to 3.5' shark
2006-10-01,Unprovoked,BAHAMAS,F,
2006-10-01,Unprovoked,GULF OF ADEN,,
2006-09-30,Invalid,SOUTH AFRICA,M,invalid
2006-09-29,Unprovoked,USA,M,
,Provoked,USA,M,nurse shark
2006-09-16,Unprovoked,USA,M,
2006-09-14,Unprovoked,USA,M,spinner shark
2006-09-11,Unprovoked,USA,M,5' shark
2006-09-04,Invalid,AUSTRALIA,M,no shark involvement
2006-09-03,Unprovoked,BRAZIL,M,
2006-09-03,Unprovoked,USA,M,3' shark
2006-09-02,Unprovoked,USA,M,
2006-09-02,Unprovoked,SOUTH AFRICA,M,white shark
2006-08-29,Unprovoked,USA,M,
2006-08-29,Unprovoked,AUSTRALIA,M,copper shark
2006-08-27,Unprovoked,REUNION,M,
2006-08-22,Invalid,BRAZIL,M,shark involvement prior to death was not confirmed
2006-08-22,Invalid,BELIZE,M,shark involvement prior to death was not confirmed
2006-08-20,Sea Disaster,ITALY,M,
2006-08-20,Unprovoked,REUNION,M,
2006-08-15,Unprovoked,SOUTH AFRICA,M,5 m shark
2006-08-13,Unprovoked,SOUTH AFRICA,M,white shark
2006-08-01,Unprovoked,USA,F,
,Unprovoked,REUNION,M,bull shark
2006-07-31,Provoked,USA,,small catsharks
2006-07-31,Unprovoked,USA,M,white shark
2006-07-29,Invalid,USA,M,mako shark
2006-07-29,Unprovoked,USA,M,
