Date,Type,Country,Sex,Species
2023-07-04,Unprovoked,ECUADOR,F,
2023-07-04,Unprovoked,USA,F,4' shark
2023-07-04,Unprovoked,USA,M,3' shark
2023-07-04,Unprovoked,USA,M,
2023-07-03,Unprovoked,USA,M,
2023-07-03,Unprovoked,USA,F,tiger shark
2023-06-23,Unprovoked,USA,F,
2023-06-23,Unprovoked,USA,M,
,Unprovoked,USA,M,tiger shark
2023-06-08,Unprovoked,EGYPT,M,tiger shark
2023-06-07,Unprovoked,BAHAMAS,F,caribbean reef shark
2023-05-28,Unprovoked,FRENCH POLYNESIA,F,"grey reef shark, 2 m"
2023-05-28,Unprovoked,NEW CALEDONIA,M,
2023-05-24,Unprovoked,TURKS and CaICOS,F,caribbean reef shark
2023-05-24,Questionable,BAHAMAS,M,shark involvement not confirmes
2023-05-20,Provoked,USA,F,"18"" - 23"" horn shark"
2023-05-21,Unprovoked,USA,F,
2023-05-19,Provoked,USA,M,
2023-05-18,Unprovoked,USA,M,
2023-05-14,Unprovoked,USA,F,
2023-05-13,Unprovoked,AUSTRALIA,M,white shark
2023-05-11,Unprovoked,USA,F,bull shark
2023-05-11,Provoked,USA,M,tiger shark
2023-05-09, Provoked,CUBA,M,bull shark
2023-05-05,Unprovoked,USA,M,
2023-05-03,Unprovoked,SOUTH AFRICA,M,
2023-05-01,Unprovoked,SOUTH AFRICA,M,
2023-04-29,Unprovoked,AUSTRALIA,M,1m shark
2023-04-29,Unprovoked,AUSTRALIA,M,
2023-04-23,Unprovoked,USA,M,bull shark
2023-04-22,Unprovoked,AUSTRALIA,M,copper shark
2023-04-11,Unprovoked,USA,F,
2023-04-09,Watercraft,USA,M,
2023-04-09,Unprovoked,USA,M,tiger shark
2023-03-25,Unprovoked,USA,M,
2023-03-25,Provoked,CUBA,M,
2023-03-22,Unprovoked,AUSTRALIA,M,
2023-03-19,Unprovoked,USA,M,blacktip shark
2023-03-17,Questionable,MEXICO,M,authorities report injury caused bya barracuda
2023-03-16,Unprovoked,AUSTRALIA,F,5m to 6m shark
2023-03-06,Unprovoked,BRAZIL,F,
2023-03-05,Unprovoked,BRAZIL,M,
2023-03-02,Unprovoked,SEYCHELLES,M,lemon shark
2023-02-21,Unprovoked,BRAZIL,M,
2023-02-19,Unprovoked,NEW CALEDONIA,M,bull shark
2023-02-19,Unprovoked,USA,M,
2023-02-18,Questionable,ARGENTINA,M,
2023-02-17,Questionable,FIJI,M,
2023-02-04,Unprovoked,AUSTRALIA,F,bull shark
2023-01-30,Unprovoked,AUSTRALIA,M,a small shark
,Unprovoked,NEW CALEDONIA,M,bull shark
,Unprovoked,USA,M,
2023-01-05,Unprovoked,MeXICO,M,
2023-01-01,Provoked,USA,M,mako shark
2023-01-01,Provoked,Maldives,F,nurse shark
2022-12-30,Provoked,South Africa,M,blacktip shark
2022-12-13,Unprovoked,USA,M,tiger shark
2022-12-11,Unprovoked,AUSTRALIA,M,
2022-12-09,Unprovoked,USA,M,
2022-12-08,Unprovoked,USA,F,tiger shark
2022-12-07,Unprovoked,USA,M,blacktip shark
2022-11-27,Unprovoked,USA,F,
2022-11-04,Unprovoked,USA,F,white shark
2022-11-03,Provoked,USA,M,
2022-10-31,Unprovoked,USA,M,
2022-10-28,Sea Disaster,USA,M,
2022-10-28,Unprovoked,BAHAMAS,M,
2022-10-27,Provoked,USA,M,5'shark
2022-10-25,Unprovoked,USA,M,tiger shark
2022-10-23,Unprovoked,AUSTRALIA,M,3m shark
2022-10-10,Provoked,USA,M,nurse shark
2022-10-08,Unprovoked,USA,M,
2022-10-07,Unprovoked,AUSTRALIA,M,bull shark
2022-10-06,Unprovoked,AUSTRALIA,M,
2022-10-02,Unprovoked,USA,M,white shark
2022-09-25,Unprovoked,SOUTH AFRICA,F,white shark
2022-09-22,Unprovoked,USA,M,bu.ll
2022-09-06,Unprovoked,BAHAMAS,F,bull shark
2022-09-03,Unprovoked,USA,F,
2022-08-31,Unprovoked,AUSTRALIA,M,copper shark
2022-08-17,Unprovoked,AUSTRALIA,M,white shark
2022-08-15,Unprovoked,USA,F,
2022-08-15,Unprovoked,USA,F,blacktip shark
2022-08-15,Unprovoked,AUSTRALIA,M,white shark
2022-08-13,Unprovoked,USA,M,bull shark
2022-08-10,Unprovoked,USA,M,
2022-07-28,Unprovoked,ENGLAND,F,blue shark
2022-07-27,Unprovoked,USA,M,nurse shark
2022-07-25,Unprovoked,USA,M,blacktip shark
2022-07-20,Unprovoked,USA,M,6' shark
2022-07-19,Questionable,USA,,shark involvement not confirmed
2022-07-19,Unprovoked,USA,F,
2022-07-17,Provoked,USA,M,lemon shark
2022-07-16,Unprovoked,USA,F,"""a small shark"""
2022-07-13,Unprovoked,USA,M,
2022-07-13,Unprovoked,USA,M,tiger shark
2022-07-10,Unprovoked,USA,M,6' shark
2022-07-07,Unprovoked,USA,M,
2022-07-04,Unprovoked,JAPAN,M,
2022-07-03,Unprovoked,USA,M,
2022-07-03,Unprovoked,USA,M,5'shark
2022-07-01,Unprovoked,INDONESIA,F,
2022-07-01,Unprovoked,EGYPT,F,white shark
2022-07-01,Unprovoked,EGYPT,F,white shark
2022-06-30,Unprovoked,USA,M,shark involvement not confirmed
2022-06-30,Unprovoked,USA,F,9' shark
2022-06-29,Unprovoked,USA,F,
2022-06-29,Unprovoked,USA,M,
2022-06-28,Unprovoked,SOUTH AFRICA,M,while shark
2022-06-24,Unprovoked,JAMAICA,M,tiger shark
2022-06-23,Unprovoked,USA,F,
2022-06-22,Unprovoked,USA,M,white shark
2022-06-21,Unprovoked,USA,M,
2022-06-01,Unprovoked,AUSTRALIA,F,
2022-05-27,Unprovoked,AUSTRALIA,,copper shark
2022-05-20,Unprovoked,AUSTRALIA,M,bull shark
2022-05-19,Provoked,BELIZE,M,5' shark
2022-05-10,Unprovoked,MALDIVES,M,
2022-05-07,Unprovoked,FRENCH POLYNESIA,,
2022-05-03,Provoked,USA,M,blacktip shark
2022-05-01,Unprovoked,THAILAND,M,1m shark
2022-04-30,Unprovoked,FRENCH POLYNESIA,M,tiger shark
,Unprovoked,AUSTRALIA,M,
2022-04-17,Unprovoked,USA, M,
2022-04-12,Unprovoked,USA,M,
2022-04-11,Unprovoked,USA,M,4' shark
2022-04-09,Provoked,USA,F,epaulette shark
2022-04-07,Unprovoked,USA,M,
2022-04-01,,SOUTH AFRICA,M,
2022-03-31,Provoked,USA,M,
2022-03-18,Unprovoked,COLUMBIA,M,tiger shark
2022-03-15,Unprovoked,NEW ZEALAND,M,
2022-03-15,Unprovoked,AUSTRALIA,M,bull shark
2022-03-15,Unprovoked,AUSTRALIA,M,
2022-03-13,Unprovoked,USA,M,
2022-03-09,Provoked,USA,M,blacktip shark
2022-03-08,Unprovoked,AUSTRALIA,M,
2022-02-26,Unprovoked,USA,M,white shark
2022-02-21,?,BAHAMAS,M,
2022-02-17,Unprovoked,AUSTRALIA,M,tiger shark
